source,target,weight
straightstreet,weizenbaum,1
straightstreet,tap29,1
straightstreet,anitadfiouris,1
straightstreet,ecjake,1
straightstreet,teamwinnipeg,2
bacieabbracci,fridayluv,1
bacieabbracci,zaibatsu,1
bacieabbracci,robertbland,2
bacieabbracci,williger,1
bacieabbracci,mlomb,1
bacieabbracci,djkester,1
bacieabbracci,kimsherrell,1
bacieabbracci,rnryorkiemom,1
bradfraser,curiousillusion,1
kidfocus,gobullies,1
kidfocus,herfooty,1
kidfocus,sparkwisdom,1
kidfocus,girlgetstrong,1
kidfocus,sarahprout,1
kidfocus,greatkidscorner,1
radiosrq,thetazzone,3
radiosrq,purplefrogcat,3
radiosrq,realworldmom,3
withoutemotion,modelmekids,1
withoutemotion,bethlayne,1
withoutemotion,tonerforautism,1
schneiderk,entirelykiwi,1
schneiderk,adventuregirl,1
schneiderk,operationsmile,1
schneiderk,avalonsguide,1
schneiderk,wickedcampers,1
schneiderk,shonabris,1
schneiderk,spookyet,1
schneiderk,elitetravelgal,2
belindaang,izzie1980,1
campnicole,blobert,1
tmjobrequest,abeeliever,2
tmjobrequest,tammey,2
tmjobrequest,fridayluv,3
tmjobrequest,barron00,4
tmjobrequest,emmolei,2
tmjobrequest,bestfoodbaby,2
tmjobrequest,shinaultjr,2
gtvone,katiewest,1
withoutemotion,sandidarwin,1
magsjoy,asiprosper,1
magsjoy,jeaninedeal,1
magsjoy,dailyinsights,1
magsjoy,rox11aries,1
magsjoy,dennismerimsky,1
magsjoy,highermusic,1
patient_warrior,cams211,1
patient_warrior,harmonyjewelry,1
patient_warrior,ada1276,1
patient_warrior,encounterprayer,1
patient_warrior,beartwinsmom,1
patient_warrior,skyangeltv,1
patient_warrior,hopei91,1
patient_warrior,wwahhmpreneur,1
patient_warrior,djleenieman,1
xphile1908,andrea1908,1
misspaulaflava,jawar,2
gallarotti,angharadsegura,1
pscoach,starlingpoet,1
pscoach,jaylink_,5
pscoach,xpozrrt,1
